gene_id
ABAT
ABCA1
ABCB1
ABCB11
ABCB4
ABCC1
ABCC2
ABCC4
ABCC5
ABCC8
ABCG2
ABHD6
ABL1
ABL2
ACACA
ACACB
ACAT1
ACE
ACE2
ACHE
ACR
ACVR1
ACVR1B
ACVR1C
ACVR2B
ACVRL1
ADA
ADAM10
ADAM12
ADAM17
ADAM33
ADAM8
ADAM9
ADAMTS1
ADAMTS4
ADAMTS5
ADCY5
ADCY6
ADCYAP1R1
ADGRG3
ADH1A
ADH1B
ADK
ADORA1
ADORA2A
ADORA2B
ADRA1A
ADRA1B
ADRA1D
ADRA2A
ADRA2B
ADRA2C
ADRB1
ADRB2
ADRB3
ADRM1
AGER
AGRP
AGTR1
AGTR2
AHCY
AKR1A1
AKR1B1
AKR1C3
AKT1
AKT1S1
AKT2
AKT3
ALAD
ALDH2
ALDH5A1
ALK
ALMS1
ALOX12
ALOX15
ALOX15B
ALOX5
ALOX5AP
ALPL
AMH
AMY2A
ANGPT1
ANGPT2
ANO1
ANPEP
ANXA3
ANXA5
AOAH
AOC3
AOX1
APCS
APEH
APH1A
APH1B
APLNR
APOB
APOH
APP
AQP1
AQP10
AQP2
AQP3
AQP5
AQP6
AQP7
AQP9
AR
ARAF
ARG1
ARG2
ATAD2
ATAD2B
ATM
ATP1A1
ATP1A2
ATP1A3
ATP1A4
ATP1B1
ATP1B2
ATP1B3
ATP2A2
ATP4A
ATP6V1A
ATR
AURKA
AURKB
AURKC
AVPR1A
AVPR1B
AVPR2
AXL
BACE1
BACE2
BAX
BAZ2A
BAZ2B
BCAT2
BCHE
BCL2
BCL2A1
BCL2L1
BCL2L10
BCL2L2
BCR
BDKRB1
BDKRB2
BIRC2
BIRC3
BIRC5
BIRC7
BLK
BLVRB
BMP1
BMP2K
BMPR1A
BMPR2
BMX
BPTF
BRAF
BRD1
BRD2
BRD3
BRD4
BRD7
BRD9
BRS3
BRSK1
BRSK2
BTK
BUB1
C1QB
C1S
C3AR1
C5
C5AR1
C5AR2
C6
C7
C8G
C9orf3
CA1
CA12
CA13
CA14
CA2
CA3
CA4
CA5A
CA5B
CA6
CA7
CA9
CACNA1A
CACNA1B
CACNA1C
CACNA1D
CACNA1E
CACNA1F
CACNA1G
CACNA1H
CACNA1I
CACNA1S
CACNA2D1
CACNA2D2
CACNA2D3
CACNA2D4
CACNB1
CACNB2
CACNB3
CACNB4
CACNG1
CACNG4
CACNG6
CACNG7
CALCA
CALCB
CALCRL
CAMK1D
CAMK2B
CAMK2D
CAMK2G
CAMKK1
CAMKK2
CAPN2
CARM1
CASP1
CASP10
CASP14
CASP2
CASP3
CASP4
CASP5
CASP6
CASP7
CASP8
CASP9
CASR
CBR1
CBS
CBX4
CCKBR
CCL11
CCL2
CCND1
CCR1
CCR2
CCR3
CCR4
CCR5
CCR8
CCR9
CD14
CD2
CD200
CD248
CD274
CD28
CD38
CD3D
CD3E
CD3G
CD4
CD40
CD40LG
CD52
CD74
CD80
CD86
CDC42BPA
CDC42BPB
CDC7
CDK1
CDK10
CDK12
CDK13
CDK14
CDK15
CDK16
CDK17
CDK18
CDK19
CDK2
CDK20
CDK3
CDK4
CDK5
CDK6
CDK7
CDK9
CDKL1
CDKL2
CDKN1A
CDKN3
CDS1
CELA1
CENPE
CERK
CES1
CETP
CFB
CFD
CFTR
CH25H
CHEK1
CHEK2
CHKA
CHRM1
CHRM2
CHRM3
CHRM4
CHRM5
CHRNA1
CHRNA10
CHRNA2
CHRNA3
CHRNA4
CHRNA5
CHRNA7
CHRNA9
CHRNB1
CHRNB2
CHRNB4
CHRND
CHRNE
CHRNG
CHUK
CLEC4C
CLK1
CLK2
CLK3
CLK4
CLU
CMA1
CNGA3
CNR1
CNTN1
COL4A5
COMT
CPA1
CPB1
CPB2
CPM
CPN1
CPT1B
CPT2
CRBN
CREBBP
CRHR1
CRHR2
CSF1
CSF1R
CSF2
CSF2RB
CSK
CSNK1A1
CSNK1D
CSNK1E
CSNK1G1
CSNK1G2
CSNK1G3
CSNK2A1
CSNK2A2
CSRP2
CTGF
CTH
CTLA4
CTRC
CTSA
CTSB
CTSC
CTSD
CTSE
CTSF
CTSG
CTSH
CTSK
CTSL
CTSO
CTSS
CTSV
CTSZ
CUL4A
CXCL10
CXCL8
CXCR1
CXCR2
CXCR3
CXCR4
CYP11A1
CYP17A1
CYP19A1
CYP1A1
CYP1A2
CYP1B1
CYP24A1
CYP26A1
CYP27A1
CYP27B1
CYP2A6
CYP2B6
CYP2C18
CYP2C8
CYP2C9
CYP2D6
CYP2E1
CYP2J2
CYP3A4
CYP3A43
CYP3A5
CYP3A7
CYP4F2
CYP51A1
CYSLTR1
CYSLTR2
DAPK1
DAPK3
DCLK1
DCLK2
DCLK3
DCPS
DDAH1
DDB1
DDC
DDR1
DDR2
DEGS1
DEPTOR
DGAT1
DGAT2
DHFR
DHODH
DIO1
DKK1
DLL4
DLX3
DMPK
DNMT1
DNMT3A
DNPEP
DOT1L
DPEP1
DPP4
DPP7
DPP8
DPP9
DRD1
DRD2
DRD4
DRD5
DYRK1A
DYRK1B
DYRK2
DYRK3
DYRK4
ECE1
EDNRA
EDNRB
EED
EEF2
EEF2K
EGFL7
EGFR
EGLN1
EGLN2
EGLN3
EHMT1
EHMT2
EIF2AK1
EIF2AK2
EIF2AK3
EIF2AK4
EIF4E
ELANE
ENG
ENPEP
ENPP2
ENTPD1
ENTPD2
EP300
EPCAM
EPHA1
EPHA10
EPHA2
EPHA3
EPHA4
EPHA5
EPHA6
EPHA7
EPHA8
EPHB1
EPHB2
EPHB3
EPHB4
EPHB6
ERAP1
ERAP2
ERBB2
ERBB3
ERBB4
ERG
ERN1
ESR1
ESR2
ESRRA
ESRRB
ESRRG
EZH1
EZH2
F10
F11
F12
F2
F2R
F2RL1
F2RL3
F5
F7
F8
F9
FAAH
FABP3
FABP4
FABP5
FAP
FASN
FBP1
FCER2
FCGR2A
FDFT1
FDPS
FER
FES
FFAR2
FGA
FGB
FGF1
FGF2
FGF23
FGFR1
FGFR2
FGFR3
FGFR4
FGG
FGR
FKBP1A
FLT1
FLT3
FLT4
FNTA
FNTB
FOLH1
FOLR1
FPR1
FPR2
FPR3
FRK
FSHR
FURIN
FXYD2
FYN
FZD1
FZD2
FZD5
FZD7
FZD8
GAA
GABBR2
GABRA2
GABRA3
GABRA4
GABRA5
GABRB2
GABRR1
GABRR2
GAK
GALR2
GART
GBA
GC
GCGR
GCK
GGCX
GGPS1
GHR
GHRHR
GIPR
GJA1
GJA4
GJA5
GJB2
GJB3
GJB4
GJB5
GJB6
GJC2
GJD2
GJD3
GJD4
GLP1R
GLRA3
GLRB
GLS
GNG7
GNRH1
GNRHR
GP1BA
GP2
GPD2
GPER1
GPR55
GPR87
GRIA1
GRIA2
GRIA3
GRIA4
GRIK1
GRIK2
GRIK3
GRIK4
GRIN1
GRIN2A
GRIN2B
GRIN2C
GRIN2D
GRIN3A
GRIN3B
GRK4
GRK5
GRK6
GRK7
GRM1
GRM2
